zonda_datetime_utc;
18/05/2008;
20/05/2008;
12/07/2008;
10/08/2008;
15/08/2008;
26/08/2008;
01/09/2008;
11/10/2008;
08/11/2008;
19/06/2009;
07/07/2009;
12/08/2009;
14/08/2009;
05/09/2009;
04/10/2009;
10/10/2009;
12/10/2009;
23/10/2009;
17/11/2009;
19/11/2009;
24/11/2009;
12/01/2010;
16/01/2010;
14/06/2010;
23/06/2010;
11/07/2010;
19/08/2010;
26/08/2010;
28/08/2010;
27/10/2010;
07/11/2010;
02/12/2010;
10/12/2010;
15/12/2010;
16/01/2011;
13/04/2011;
22/04/2011;
14/07/2011;
25/07/2011;
27/08/2011;
29/08/2011;
11/09/2011;
31/10/2011;
08/11/2011;
27/05/2012;
12/06/2012;
20/06/2012;
21/07/2012;
08/11/2012;
24/12/2012;
27/05/2013;
31/05/2013;
27/06/2013;
18/07/2013;
07/08/2013;
10/09/2013;
09/10/2013;
19/10/2013;
22/10/2013;
06/11/2013;
14/11/2013;
16/11/2013;
29/05/2014;
11/06/2014;
02/07/2014;
06/07/2014;
02/08/2014;
30/08/2014;
25/09/2014;
17/10/2014;
03/12/2014;
06/06/2015;
12/07/2015;
27/07/2015;
05/08/2015;
21/08/2015;
25/08/2015;
28/08/2015;
14/09/2015;
09/11/2015;
18/11/2015;
15/04/2016;
23/04/2016;
16/08/2016;
01/11/2016;
03/11/2016;
04/11/2016;
04/12/2016;
17/06/2017;
15/07/2017;
03/10/2017;
04/10/2017;
17/10/2017;
28/10/2017;
17/12/2017;
04/11/2018;
10/06/2018;
29/10/2018;
13/12/2018;
24/06/2019;
21/07/2019;
29/08/2019;
20/09/2019;
11/06/2020;
29/09/2020;
18/08/2021;
21/08/2021;
11/09/2021;
12/09/2021;
24/04/2022;
26/04/2022;
06/07/2022;
07/09/2022;
07/10/2022;
09/06/2023;
26/06/2023;
21/07/2023;
21/08/2023;
09/09/2023;
10/09/2023;
16/09/2023;
28/10/2023;
10/11/2023;
15/11/2023;
17/11/2023;
14/12/2023;
16/12/2023;
29/04/2024;
07/05/2024;
09/06/2024;
13/06/2024;
18/06/2024;
02/08/2024;
02/09/2024;
19/09/2024;
21/09/2024;
30/09/2024;
